2025-10-07 17:09:44,596 - INFO:   Interval 4, Epoch 4500, Loss: 0.005824, LR: 2.54e-05
2025-10-07 17:09:45,335 - INFO:   Interval 4, Epoch 4999, Loss: 0.005818, LR: 1.00e-06
2025-10-07 17:09:45,335 - INFO: --- Training Interval[5]: (0.2265625, 0.765625) ---
2025-10-07 17:09:45,337 - INFO:   Interval 5, Epoch    0, Loss: 0.005599, LR: 1.00e-03
2025-10-07 17:09:46,187 - INFO:   Interval 5, Epoch  500, Loss: 0.005599, LR: 9.75e-04
2025-10-07 17:09:47,005 - INFO:   Interval 5, Epoch 1000, Loss: 0.005598, LR: 9.04e-04
2025-10-07 17:09:47,902 - INFO:   Interval 5, Epoch 1500, Loss: 0.005598, LR: 7.94e-04
2025-10-07 17:09:48,656 - INFO:   Interval 5, Epoch 2000, Loss: 0.005598, LR: 6.55e-04
2025-10-07 17:09:49,482 - INFO:   Interval 5, Epoch 2500, Loss: 0.005598, LR: 5.00e-04
2025-10-07 17:09:50,257 - INFO:   Interval 5, Epoch 3000, Loss: 0.005598, LR: 3.46e-04
2025-10-07 17:09:51,023 - INFO:   Interval 5, Epoch 3500, Loss: 0.005667, LR: 2.07e-04
2025-10-07 17:09:51,771 - INFO:   Interval 5, Epoch 4000, Loss: 0.005598, LR: 9.62e-05
2025-10-07 17:09:52,512 - INFO:   Interval 5, Epoch 4500, Loss: 0.005599, LR: 2.54e-05
2025-10-07 17:09:53,308 - INFO:   Interval 5, Epoch 4999, Loss: 0.005599, LR: 1.00e-06
2025-10-07 17:09:53,308 - INFO: --- Training Interval[6]: (0.765625, 2.0) ---
2025-10-07 17:09:53,310 - INFO:   Interval 6, Epoch    0, Loss: 0.002371, LR: 1.00e-03
2025-10-07 17:09:54,083 - INFO:   Interval 6, Epoch  500, Loss: 0.002371, LR: 9.75e-04
2025-10-07 17:09:54,964 - INFO:   Interval 6, Epoch 1000, Loss: 0.002371, LR: 9.04e-04
2025-10-07 17:09:55,831 - INFO:   Interval 6, Epoch 1500, Loss: 0.002371, LR: 7.94e-04
2025-10-07 17:09:56,679 - INFO:   Interval 6, Epoch 2000, Loss: 0.002371, LR: 6.55e-04
2025-10-07 17:09:57,430 - INFO:   Interval 6, Epoch 2500, Loss: 0.002371, LR: 5.00e-04
2025-10-07 17:09:58,291 - INFO:   Interval 6, Epoch 3000, Loss: 0.002371, LR: 3.46e-04
2025-10-07 17:09:59,150 - INFO:   Interval 6, Epoch 3500, Loss: 0.002371, LR: 2.07e-04
2025-10-07 17:10:00,014 - INFO:   Interval 6, Epoch 4000, Loss: 0.002371, LR: 9.62e-05
2025-10-07 17:10:00,816 - INFO:   Interval 6, Epoch 4500, Loss: 0.002371, LR: 2.54e-05
2025-10-07 17:10:01,578 - INFO:   Interval 6, Epoch 4999, Loss: 0.002940, LR: 1.00e-06
2025-10-07 17:10:03,624 - INFO: Final MAE:  0.002713
2025-10-07 17:10:03,630 - INFO: Deployable parameters saved to: log/gelu/qpwl_7entry.json
