2025-10-17 11:09:43,767 - INFO: --- Training Interval[0]: (-4.0, -3.0625) ---
2025-10-17 11:09:43,770 - INFO:   Interval 0, Epoch    0, Loss: 0.000e+00, LR: 1.00e-03
2025-10-17 11:09:44,604 - INFO:   Interval 0, Epoch  500, Loss: 0.000e+00, LR: 9.75e-04
2025-10-17 11:09:45,325 - INFO:   Interval 0, Epoch 1000, Loss: 0.000e+00, LR: 9.04e-04
2025-10-17 11:09:46,054 - INFO:   Interval 0, Epoch 1500, Loss: 0.000e+00, LR: 7.94e-04
2025-10-17 11:09:46,807 - INFO:   Interval 0, Epoch 2000, Loss: 0.000e+00, LR: 6.55e-04
2025-10-17 11:09:47,605 - INFO:   Interval 0, Epoch 2500, Loss: 0.000e+00, LR: 5.00e-04
2025-10-17 11:09:48,424 - INFO:   Interval 0, Epoch 3000, Loss: 0.000e+00, LR: 3.46e-04
2025-10-17 11:09:49,255 - INFO:   Interval 0, Epoch 3500, Loss: 0.000e+00, LR: 2.07e-04
2025-10-17 11:09:50,114 - INFO:   Interval 0, Epoch 4000, Loss: 0.000e+00, LR: 9.62e-05
2025-10-17 11:09:50,888 - INFO:   Interval 0, Epoch 4500, Loss: 0.000e+00, LR: 2.54e-05
2025-10-17 11:09:51,673 - INFO:   Interval 0, Epoch 4999, Loss: 0.000e+00, LR: 1.00e-06
2025-10-17 11:09:51,673 - INFO: --- Training Interval[1]: (-3.0625, -2.0) ---
2025-10-17 11:09:51,675 - INFO:   Interval 1, Epoch    0, Loss: 3.967e-04, LR: 1.00e-03
2025-10-17 11:09:52,406 - INFO:   Interval 1, Epoch  500, Loss: 2.319e-04, LR: 9.75e-04
2025-10-17 11:09:53,150 - INFO:   Interval 1, Epoch 1000, Loss: 1.763e-04, LR: 9.04e-04
2025-10-17 11:09:53,899 - INFO:   Interval 1, Epoch 1500, Loss: 1.763e-04, LR: 7.94e-04
2025-10-17 11:09:54,692 - INFO:   Interval 1, Epoch 2000, Loss: 1.569e-03, LR: 6.55e-04
2025-10-17 11:09:55,452 - INFO:   Interval 1, Epoch 2500, Loss: 1.763e-04, LR: 5.00e-04
2025-10-17 11:09:56,236 - INFO:   Interval 1, Epoch 3000, Loss: 4.851e-04, LR: 3.46e-04
2025-10-17 11:09:56,989 - INFO:   Interval 1, Epoch 3500, Loss: 1.763e-04, LR: 2.07e-04
2025-10-17 11:09:57,743 - INFO:   Interval 1, Epoch 4000, Loss: 1.763e-04, LR: 9.62e-05
2025-10-17 11:09:58,517 - INFO:   Interval 1, Epoch 4500, Loss: 1.763e-04, LR: 2.54e-05
2025-10-17 11:09:59,262 - INFO:   Interval 1, Epoch 4999, Loss: 1.763e-04, LR: 1.00e-06
2025-10-17 11:09:59,262 - INFO: --- Training Interval[2]: (-2.0, -1.0) ---
2025-10-17 11:09:59,264 - INFO:   Interval 2, Epoch    0, Loss: 9.990e-04, LR: 1.00e-03
2025-10-17 11:10:00,023 - INFO:   Interval 2, Epoch  500, Loss: 1.579e-04, LR: 9.75e-04
2025-10-17 11:10:00,739 - INFO:   Interval 2, Epoch 1000, Loss: 1.579e-04, LR: 9.04e-04
2025-10-17 11:10:01,476 - INFO:   Interval 2, Epoch 1500, Loss: 1.579e-04, LR: 7.94e-04
2025-10-17 11:10:02,221 - INFO:   Interval 2, Epoch 2000, Loss: 1.579e-04, LR: 6.55e-04
2025-10-17 11:10:03,010 - INFO:   Interval 2, Epoch 2500, Loss: 1.579e-04, LR: 5.00e-04
2025-10-17 11:10:03,807 - INFO:   Interval 2, Epoch 3000, Loss: 1.579e-04, LR: 3.46e-04
2025-10-17 11:10:04,587 - INFO:   Interval 2, Epoch 3500, Loss: 1.579e-04, LR: 2.07e-04
2025-10-17 11:10:05,316 - INFO:   Interval 2, Epoch 4000, Loss: 1.579e-04, LR: 9.62e-05
2025-10-17 11:10:06,080 - INFO:   Interval 2, Epoch 4500, Loss: 1.579e-04, LR: 2.54e-05
2025-10-17 11:10:06,813 - INFO:   Interval 2, Epoch 4999, Loss: 1.579e-04, LR: 1.00e-06
2025-10-17 11:10:06,813 - INFO: --- Training Interval[3]: (-1.0, -0.0) ---
