2025-10-17 11:08:14,353 - INFO: Training Configuration:
2025-10-17 11:08:14,354 - INFO: {
  "function": "hswish",
  "x_range": [
    -4.0,
    4.0
  ],
  "num_entries": 8,
  "total_epochs": 40000,
  "warmup_epochs": 1000,
  "base_lr": 0.001,
  "weight_decay": 0.0001,
  "range_weight": 0.1,
  "prox_weight": 0.1,
  "device": "cpu"
}
2025-10-17 11:08:14,357 - INFO: Epoch [0/40000], Total Loss: 6.938e-04, Main Loss: 6.938e-04, Range Loss: 0.000e+00, Prox Loss: 0.000e+00, LR: 1.009e-04
2025-10-17 11:08:15,496 - INFO: Epoch [500/40000], Total Loss: 1.205e-04, Main Loss: 1.205e-04, Range Loss: 0.000e+00, Prox Loss: 0.000e+00, LR: 5.509e-04
2025-10-17 11:08:16,560 - INFO: Epoch [1000/40000], Total Loss: 1.200e-04, Main Loss: 1.200e-04, Range Loss: 0.000e+00, Prox Loss: 0.000e+00, LR: 1.000e-03
2025-10-17 11:08:17,770 - INFO: Epoch [1500/40000], Total Loss: 1.198e-04, Main Loss: 1.198e-04, Range Loss: 0.000e+00, Prox Loss: 0.000e+00, LR: 9.996e-04
2025-10-17 11:08:18,893 - INFO: Epoch [2000/40000], Total Loss: 1.197e-04, Main Loss: 1.197e-04, Range Loss: 0.000e+00, Prox Loss: 0.000e+00, LR: 9.984e-04
2025-10-17 11:08:19,956 - INFO: Epoch [2500/40000], Total Loss: 1.197e-04, Main Loss: 1.197e-04, Range Loss: 0.000e+00, Prox Loss: 0.000e+00, LR: 9.964e-04
2025-10-17 11:08:21,044 - INFO: Epoch [3000/40000], Total Loss: 1.197e-04, Main Loss: 1.197e-04, Range Loss: 0.000e+00, Prox Loss: 0.000e+00, LR: 9.936e-04
2025-10-17 11:08:22,118 - INFO: Epoch [3500/40000], Total Loss: 1.197e-04, Main Loss: 1.197e-04, Range Loss: 0.000e+00, Prox Loss: 0.000e+00, LR: 9.900e-04
2025-10-17 11:08:23,207 - INFO: Epoch [4000/40000], Total Loss: 1.197e-04, Main Loss: 1.197e-04, Range Loss: 0.000e+00, Prox Loss: 0.000e+00, LR: 9.856e-04
2025-10-17 11:08:24,301 - INFO: Epoch [4500/40000], Total Loss: 1.197e-04, Main Loss: 1.197e-04, Range Loss: 0.000e+00, Prox Loss: 0.000e+00, LR: 9.804e-04
2025-10-17 11:08:25,386 - INFO: Epoch [5000/40000], Total Loss: 1.209e-04, Main Loss: 1.209e-04, Range Loss: 0.000e+00, Prox Loss: 0.000e+00, LR: 9.745e-04
2025-10-17 11:08:26,431 - INFO: Epoch [5500/40000], Total Loss: 1.197e-04, Main Loss: 1.197e-04, Range Loss: 0.000e+00, Prox Loss: 0.000e+00, LR: 9.678e-04
2025-10-17 11:08:27,497 - INFO: Epoch [6000/40000], Total Loss: 1.197e-04, Main Loss: 1.197e-04, Range Loss: 0.000e+00, Prox Loss: 0.000e+00, LR: 9.604e-04
2025-10-17 11:08:28,572 - INFO: Epoch [6500/40000], Total Loss: 1.197e-04, Main Loss: 1.197e-04, Range Loss: 0.000e+00, Prox Loss: 0.000e+00, LR: 9.522e-04
2025-10-17 11:08:29,624 - INFO: Epoch [7000/40000], Total Loss: 1.197e-04, Main Loss: 1.197e-04, Range Loss: 0.000e+00, Prox Loss: 0.000e+00, LR: 9.433e-04
2025-10-17 11:08:30,666 - INFO: Epoch [7500/40000], Total Loss: 1.203e-04, Main Loss: 1.203e-04, Range Loss: 0.000e+00, Prox Loss: 0.000e+00, LR: 9.337e-04
2025-10-17 11:08:31,965 - INFO: Epoch [8000/40000], Total Loss: 1.197e-04, Main Loss: 1.197e-04, Range Loss: 0.000e+00, Prox Loss: 0.000e+00, LR: 9.233e-04
2025-10-17 11:08:33,131 - INFO: Epoch [8500/40000], Total Loss: 1.197e-04, Main Loss: 1.197e-04, Range Loss: 0.000e+00, Prox Loss: 0.000e+00, LR: 9.124e-04
2025-10-17 11:08:34,208 - INFO: Epoch [9000/40000], Total Loss: 1.197e-04, Main Loss: 1.197e-04, Range Loss: 0.000e+00, Prox Loss: 0.000e+00, LR: 9.007e-04
2025-10-17 11:08:35,286 - INFO: Epoch [9500/40000], Total Loss: 1.197e-04, Main Loss: 1.197e-04, Range Loss: 0.000e+00, Prox Loss: 0.000e+00, LR: 8.884e-04
