2025-10-17 11:29:30,920 - INFO: --- Training Interval[0]: (-8.0, -7.5625) ---
2025-10-17 11:29:30,923 - INFO:   Interval 0, Epoch    0, Loss: 1.215e-05, LR: 1.00e-03
2025-10-17 11:29:31,715 - INFO:   Interval 0, Epoch  500, Loss: 1.215e-05, LR: 9.75e-04
2025-10-17 11:29:32,456 - INFO:   Interval 0, Epoch 1000, Loss: 2.591e-05, LR: 9.04e-04
2025-10-17 11:29:33,196 - INFO:   Interval 0, Epoch 1500, Loss: 1.215e-05, LR: 7.94e-04
2025-10-17 11:29:33,983 - INFO:   Interval 0, Epoch 2000, Loss: 1.215e-05, LR: 6.55e-04
2025-10-17 11:29:34,732 - INFO:   Interval 0, Epoch 2500, Loss: 1.693e-05, LR: 5.00e-04
2025-10-17 11:29:35,500 - INFO:   Interval 0, Epoch 3000, Loss: 1.693e-05, LR: 3.46e-04
2025-10-17 11:29:36,261 - INFO:   Interval 0, Epoch 3500, Loss: 1.215e-05, LR: 2.07e-04
2025-10-17 11:29:37,065 - INFO:   Interval 0, Epoch 4000, Loss: 1.693e-05, LR: 9.62e-05
2025-10-17 11:29:37,817 - INFO:   Interval 0, Epoch 4500, Loss: 1.215e-05, LR: 2.54e-05
2025-10-17 11:29:38,548 - INFO:   Interval 0, Epoch 4999, Loss: 1.215e-05, LR: 1.00e-06
2025-10-17 11:29:38,549 - INFO: --- Training Interval[1]: (-7.5625, -6.4375) ---
2025-10-17 11:29:38,551 - INFO:   Interval 1, Epoch    0, Loss: 2.341e-09, LR: 1.00e-03
2025-10-17 11:29:39,394 - INFO:   Interval 1, Epoch  500, Loss: 2.341e-09, LR: 9.75e-04
2025-10-17 11:29:40,175 - INFO:   Interval 1, Epoch 1000, Loss: 2.341e-09, LR: 9.04e-04
2025-10-17 11:29:40,957 - INFO:   Interval 1, Epoch 1500, Loss: 2.341e-09, LR: 7.94e-04
2025-10-17 11:29:41,725 - INFO:   Interval 1, Epoch 2000, Loss: 9.253e-07, LR: 6.55e-04
2025-10-17 11:29:42,545 - INFO:   Interval 1, Epoch 2500, Loss: 2.341e-09, LR: 5.00e-04
2025-10-17 11:29:43,330 - INFO:   Interval 1, Epoch 3000, Loss: 2.341e-09, LR: 3.46e-04
2025-10-17 11:29:44,133 - INFO:   Interval 1, Epoch 3500, Loss: 2.341e-09, LR: 2.07e-04
2025-10-17 11:29:44,908 - INFO:   Interval 1, Epoch 4000, Loss: 2.341e-09, LR: 9.62e-05
2025-10-17 11:29:45,729 - INFO:   Interval 1, Epoch 4500, Loss: 2.341e-09, LR: 2.54e-05
2025-10-17 11:29:46,519 - INFO:   Interval 1, Epoch 4999, Loss: 2.341e-09, LR: 1.00e-06
2025-10-17 11:29:46,519 - INFO: --- Training Interval[2]: (-6.4375, -5.625) ---
2025-10-17 11:29:46,521 - INFO:   Interval 2, Epoch    0, Loss: 6.574e-06, LR: 1.00e-03
2025-10-17 11:29:47,349 - INFO:   Interval 2, Epoch  500, Loss: 1.110e-05, LR: 9.75e-04
2025-10-17 11:29:48,201 - INFO:   Interval 2, Epoch 1000, Loss: 1.110e-05, LR: 9.04e-04
2025-10-17 11:29:48,996 - INFO:   Interval 2, Epoch 1500, Loss: 1.110e-05, LR: 7.94e-04
2025-10-17 11:29:49,883 - INFO:   Interval 2, Epoch 2000, Loss: 1.110e-05, LR: 6.55e-04
2025-10-17 11:29:50,698 - INFO:   Interval 2, Epoch 2500, Loss: 1.110e-05, LR: 5.00e-04
2025-10-17 11:29:51,498 - INFO:   Interval 2, Epoch 3000, Loss: 1.110e-05, LR: 3.46e-04
2025-10-17 11:29:52,265 - INFO:   Interval 2, Epoch 3500, Loss: 1.110e-05, LR: 2.07e-04
2025-10-17 11:29:53,025 - INFO:   Interval 2, Epoch 4000, Loss: 1.110e-05, LR: 9.62e-05
2025-10-17 11:29:53,833 - INFO:   Interval 2, Epoch 4500, Loss: 1.110e-05, LR: 2.54e-05
2025-10-17 11:29:54,616 - INFO:   Interval 2, Epoch 4999, Loss: 1.110e-05, LR: 1.00e-06
2025-10-17 11:29:54,616 - INFO: --- Training Interval[3]: (-5.625, -5.0) ---
2025-10-17 11:29:54,618 - INFO:   Interval 3, Epoch    0, Loss: 1.634e-06, LR: 1.00e-03
2025-10-17 11:29:55,411 - INFO:   Interval 3, Epoch  500, Loss: 9.536e-08, LR: 9.75e-04
2025-10-17 11:29:56,266 - INFO:   Interval 3, Epoch 1000, Loss: 9.536e-08, LR: 9.04e-04
2025-10-17 11:29:57,015 - INFO:   Interval 3, Epoch 1500, Loss: 9.536e-08, LR: 7.94e-04
